vendor_id,reagent_id,vendor_name,product_name,catalog_number,pack_size,unit,animal_source_confirmed,cost_per_unit_usd,cost_source,cost_last_updated,notes,source_url,verification_status
V010,R005,Corning Life Sciences,Matrigel Growth Factor Reduced LDEV-free,354230,10mL,mL,EHS mouse sarcoma,364.23,Corning direct screenshot verified 2026-06-24,2026-06-24,"GFR formulation $364.23/10mL = ~$36,423/L. iPSC and stem cell preferred format.",https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Extracellular-Matrices-ECMs/Corning%C2%AE-Matrigel%C2%AE-Matrix/p/354230,VERIFIED-PUBLIC-PRICE
V011,R006,Advanced BioMatrix,PureCol Bovine Collagen Type I 3mg/mL,5005,100mL,mL,Bovine hide atelocollagen — telopeptide removed,540.00,Fisher Scientific screenshot verified 2026-06-24 cat#50-360-230,2026-06-24,Catalog 5005 confirmed on Advanced BioMatrix website and Fisher Scientific. Bovine atelocollagen 3mg/mL in 0.01N HCl. >99% pure Type I by SDS-PAGE.,https://advancedbiomatrix.com/purecol/,VERIFIED-PUBLIC-PRICE
V012,R019,Corning Life Sciences,Collagen I High Concentration Rat Tail,354249,100mg,mg,Rat tail tendon — slaughterhouse collection,442.00,Fisher Scientific screenshot verified 2026-06-24 cat#CB354249,2026-06-24,RAT TAIL collagen — NOT bovine. Reagent_id R019 (Rat Tail Collagen Type I) not R006 (Bovine Collagen). 8-11mg/mL in 0.02N acetic acid. Source: rat tail tendon confirmed on Corning ecatalog product page.,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Extracellular-Matrices-ECMs/Corning%C2%AE-Collagen/p/354249,VERIFIED-PUBLIC-PRICE
V013,R007,Sigma-Aldrich (Merck),Bovine Serum Albumin Fraction V,A9418,100g,gram,Bovine serum — slaughterhouse by-product,requires login,Login required,2026-06-24,Catalog A9418 confirmed on Sigma-Aldrich. Fraction V heat shock fraction standard for cell culture.,https://www.sigmaaldrich.com/US/en/product/sigma/a9418,VERIFIED
V014,R008,Sigma-Aldrich (Merck),Insulin from Bovine Pancreas,I6634,100mg,gram,Bovine pancreas — slaughterhouse by-product,requires login,Login required,2026-06-24,Bovine origin confirmed. NOTE: ATCC specifies recombinant human insulin (Thermo 12585-014) for MCF-7 HTB-22 — verify need for bovine before ordering.,https://www.sigmaaldrich.com/US/en/product/sigma/i6634,VERIFIED
V015,R008,Gibco (Thermo Fisher Scientific),Recombinant Human Insulin 10mg/mL,12585014,5mL,mL,ANIMAL-FREE — recombinant human sequence biosynthetic,76.25,Thermo Fisher direct screenshot verified 2026-06-24. 5mL vial.,2026-06-24,ANIMAL-FREE ALTERNATIVE. ATCC-specified for MCF-7 HTB-22. Catalog confirmed per ATCC product sheet.,https://www.thermofisher.com/order/catalog/product/12585014,VERIFIED-PUBLIC-PRICE
V016,R002,ATCC,Bovine Calf Serum,30-2031,500mL,mL,Bovine newborn calf — animals killed,131.08,Fisher/Encompass screenshot verified 2026-06-24 cat#50-238-4262 supplier ATCC 302030,2026-06-24,IRON-FORTIFIED calf bovine serum ATCC 302030. Calves 16-22 weeks venipuncture. $131.08/500mL = $262.16/L.,https://www.atcc.org/resources/culture-guides/animal-cell-culture-guide,VERIFIED-PUBLIC-PRICE
V017,R003,Gibco (Thermo Fisher Scientific),Horse Serum New Zealand Origin Heat Inactivated,26050088,500mL,mL,Equine — live donor herd NOT killed; repeated bleeds,96.65,Thermo Fisher direct screenshot verified 2026-06-24. Online exclusive $96.65; list $101.00.,2026-06-24,ATCC-specified for PC-12 CRL-1721. Horses not killed. New Zealand closed donor herd. Catalog 26050088 confirmed on Thermo Fisher.,https://www.thermofisher.com/order/catalog/product/26050088,VERIFIED-PUBLIC-PRICE
V013A,R007,Sigma-Aldrich (Merck),BSA Heat Shock Fraction Protease-Free Essentially Globulin-Free pH7 ≥98%,A7906,100g,gram,Bovine serum — slaughterhouse by-product,451.00,Sigma-Aldrich screenshot verified 2026-06-24,2026-06-24,"Most common cell culture BSA grade. Protease-free globulin-free. $451/100g = $4,510/kg.",https://www.sigmaaldrich.com/US/en/product/sigma/a7906,VERIFIED-PUBLIC-PRICE
V013B,R007,Sigma-Aldrich (Merck),BSA BioReagent Low Endotoxin Suitable for Cell Culture ≥98%,A1470,100g,gram,Bovine serum — slaughterhouse by-product,604.00,Sigma-Aldrich screenshot verified 2026-06-24,2026-06-24,"High-grade low-endotoxin BSA for sensitive cell culture assays. $604/100g = $6,040/kg.",https://www.sigmaaldrich.com/US/en/product/sigma/a1470,VERIFIED-PUBLIC-PRICE
